# trabajador,distrito,2019-2020,2020-2021,2021-2022,2022-2023,economicos
0001,MATRIZ,0,0,0,0,0
0135,MATRIZ,0,0,12,16,3
2086,MATRIZ,0,0,0,0,1
0004,MATRIZ,0,0,0,0,0
0679,MATRIZ,0,0,0,0,3
0100,MATRIZ,0,0,0,0,1
1301,MATRIZ,0,0,0,0,3
0008,MATRIZ,0,0,18,18,3
0666,MATRIZ,0,0,0,0,2
0006,MATRIZ,0,0,0,0,0
0640,MATRIZ,0,0,0,10,2
0668,MATRIZ,0,0,0,0,2
0654,MATRIZ,0,0,0,0,1
0013,MATRIZ,0,0,0,0,0
2052,MATRIZ,0,0,0,1,1
0652,MATRIZ,0,0,0,0,3
0123,MATRIZ,0,0,0,3,2
0015,MATRIZ,0,0,13,18,3
0683,MATRIZ,0,0,0,0,3
1020,MATRIZ,0,0,0,16,3
2093,MATRIZ,0,0,0,0,3
0018,MATRIZ,0,0,0,4,2
2084,MATRIZ,0,0,0,13,2
2004,MATRIZ,0,0,0,0,3
0676,MATRIZ,0,0,0,0,3
0677,MATRIZ,0,0,0,0,3
0173,MATRIZ,0,0,0,0,2
0149,MATRIZ,0,0,0,5,3
0029,MATRIZ,0,0,0,0,2
0650,MATRIZ,0,0,0,1,2
3204,MATRIZ,0,0,0,10,2
0667,MATRIZ,0,0,0,0,2
0674,MATRIZ,0,0,0,0,2
0641,MATRIZ,0,0,0,0,0
0669,MATRIZ,0,0,0,0,1
0682,MATRIZ,0,0,0,0,3
0602,MATRIZ,0,0,0,0,1
2442,MATRIZ,0,0,0,2,3
0663,MATRIZ,0,0,0,0,3
0044,MATRIZ,0,0,0,7,3
0046,MATRIZ,0,0,0,8,3
0049,MATRIZ,0,0,0,1,3
2543,MATRIZ,0,0,0,0,3
0083,MATRIZ,0,0,0,0,3
0636,MATRIZ,0,0,0,0,3
0053,MATRIZ,0,0,0,0,0
0054,MATRIZ,0,0,0,0,0
3014,MATRIZ,0,0,0,0,2
0055,MATRIZ,0,0,2,18,3
0625,MATRIZ,0,0,0,9,3
0154,MATRIZ,0,0,7,16,3
4034,MATRIZ,0,0,0,11,2
0648,MATRIZ,0,0,0,0,3
0151,MATRIZ,0,0,4,16,3
0189,MATRIZ,0,0,0,5,3
0200,MATRIZ,0,0,0,0,3
0637,MATRIZ,0,0,0,10,3
0060,MATRIZ,0,0,6,20,3
0061,MATRIZ,0,0,0,0,3
0680,MATRIZ,0,0,0,0,0
0630,MATRIZ,0,0,0,10,3
0681,MATRIZ,0,0,0,0,0
0684,MATRIZ,0,0,0,0,3
0658,MATRIZ,0,0,0,0,3
0611,MATRIZ,0,0,12,16,3
1319,MATRIZ,0,0,0,0,0
0064,MATRIZ,0,0,0,0,2
2487,MATRIZ,0,0,0,0,3
0085,MATRIZ,0,0,0,16,3
0179,MATRIZ,0,0,0,1,3
0675,MATRIZ,0,0,0,0,3
3071,MATRIZ,0,0,14,16,3
0070,MATRIZ,0,0,0,11,3
0000,MATRIZ,0,0,0,0,0
0071,MATRIZ,0,0,0,1,2
0653,MATRIZ,0,0,0,0,3
0001,MATRIZ,0,0,0,0,0
0074,MATRIZ,0,0,0,0,0
0685,MATRIZ,0,0,0,0,3
0671,MATRIZ,0,0,0,0,3
0078,MATRIZ,0,0,9,18,2
0605,MATRIZ,0,6,14,16,3
0651,MATRIZ,0,0,0,0,2
2015,MATRIZ,0,0,0,1,2
