# trabajador,distrito,2019-2020,2020-2021,2021-2022,2022-2023,economicos
1462,Altamira,0,0,0,0,3
1003,Altamira,0,0,0,0,2
1373,Altamira,0,0,0,2,2
1448,Altamira,0,0,0,0,0
1011,Altamira,0,0,0,0,2
8581,Altamira,0,0,0,6,2
1412,Altamira,0,0,0,0,3
1502,Altamira,0,0,0,0,0
1017,Altamira,0,0,0,0,0
1382,Altamira,0,0,0,0,3
1255,Altamira,0,0,0,0,3
1025,Altamira,0,0,0,0,1
7001,Altamira,0,0,0,0,3
1023,Altamira,0,0,0,0,2
1027,Altamira,0,0,0,8,1
1030,Altamira,0,0,0,0,3
1499,Altamira,0,0,0,0,0
1497,Altamira,0,0,0,0,0
1407,Altamira,0,0,0,0,3
1468,Altamira,0,0,0,0,0
1039,Altamira,0,0,0,20,2
1040,Altamira,0,0,0,7,1
1411,Altamira,0,0,0,0,0
1444,Altamira,0,0,0,0,3
1046,Altamira,0,0,0,0,2
1047,Altamira,0,0,0,18,2
1492,Altamira,0,0,0,0,0
1423,Altamira,0,0,0,0,3
1475,Altamira,0,0,0,0,3
1501,Altamira,0,0,0,0,0
1055,Altamira,0,0,0,13,3
1461,Altamira,0,0,0,0,3
1291,Altamira,0,0,9,16,3
1393,Altamira,0,0,0,0,0
1457,Altamira,0,0,0,0,2
1346,Altamira,0,0,0,14,2
1344,Altamira,0,0,0,16,3
1062,Altamira,0,0,0,0,3
1440,Altamira,0,0,0,0,3
1357,Altamira,0,0,0,0,0
1478,Altamira,0,0,0,0,0
1065,Altamira,0,0,0,0,2
1456,Altamira,0,0,0,0,2
1246,Altamira,0,0,0,7,3
1075,Altamira,0,0,0,0,2
1493,Altamira,0,0,0,0,0
1076,Altamira,0,0,0,0,3
1482,Altamira,0,0,0,0,0
1077,Altamira,0,0,0,12,1
1480,Altamira,0,0,0,0,0
1424,Altamira,0,0,0,0,3
1425,Altamira,0,0,0,0,3
1450,Altamira,0,0,0,0,2
1434,Altamira,0,0,0,0,3
1080,Altamira,0,0,0,0,2
1167,Altamira,0,0,0,0,3
3008,Altamira,0,0,0,15,3
1432,Altamira,0,0,0,0,2
1264,Altamira,0,0,0,0,0
1427,Altamira,0,0,0,0,2
1098,Altamira,0,0,0,18,2
1305,Altamira,0,0,0,0,2
2513,Altamira,0,0,0,12,2
1489,Altamira,0,0,0,0,0
1498,Altamira,0,0,0,0,0
1496,Altamira,0,0,0,0,0
1430,Altamira,0,0,0,0,3
1433,Altamira,0,0,0,0,3
1109,Altamira,0,0,0,0,1
1181,Altamira,0,0,0,13,0
1504,Altamira,0,0,0,0,0
1325,Altamira,0,0,0,0,0
1422,Altamira,0,0,0,0,2
1398,Altamira,0,0,0,0,3
1380,Altamira,0,0,0,0,1
1500,Altamira,0,0,0,0,0
1490,Altamira,0,0,0,0,0
1441,Altamira,0,0,0,0,3
1503,Altamira,0,0,0,0,0
1358,Altamira,0,0,0,8,2
1121,Altamira,0,0,0,20,3
1415,Altamira,0,0,0,0,2
1126,Altamira,0,0,0,15,2
1488,Altamira,0,0,0,0,0
1495,Altamira,0,0,0,0,0
1400,Altamira,0,0,0,0,0
1449,Altamira,0,0,0,0,3
7002,Altamira,0,0,0,0,1
1141,Altamira,0,0,0,0,0
1405,Altamira,0,0,0,0,2
1389,Altamira,0,0,0,0,3
1144,Altamira,0,0,0,0,1
1460,Altamira,0,0,0,0,1
2512,Altamira,0,0,0,0,0
1463,Altamira,0,0,0,0,3
1402,Altamira,0,0,0,0,3
1146,Altamira,0,0,0,0,3
1147,Altamira,0,0,0,0,3
2449,Altamira,0,0,0,0,1
1485,Altamira,0,0,0,0,0
1421,Altamira,0,0,0,0,3
1397,Altamira,0,0,0,0,1
1487,Altamira,0,0,0,0,0
1455,Altamira,0,0,0,0,0
1442,Altamira,0,0,0,0,3
1156,Altamira,0,0,0,2,1
