# trabajador,distrito,2019-2020,2020-2021,2021-2022,2022-2023,economicos
2592,POZA RICA,0,0,0,0,0
2520,POZA RICA,0,0,0,0,1
64,POZA RICA,0,0,0,0,3
2363,POZA RICA,0,0,0,0,0
1008,POZA RICA,0,0,0,0,3
2598,POZA RICA,0,0,0,0,0
649,POZA RICA,0,0,0,0,2
2584,POZA RICA,0,0,0,0,3
2270,POZA RICA,0,0,0,0,3
2585,POZA RICA,0,0,0,0,2
2034,POZA RICA,0,0,0,12,1
2623,POZA RICA,0,0,0,0,0
2061,POZA RICA,0,0,0,11,0
2602,POZA RICA,0,0,0,0,0
2509,POZA RICA,0,0,0,0,1
2504,POZA RICA,0,0,0,0,3
2599,POZA RICA,0,0,0,0,0
7,POZA RICA,0,0,0,16,2
2370,POZA RICA,0,0,0,10,2
2597,POZA RICA,0,0,0,0,0
2076,POZA RICA,0,0,0,0,1
2569,POZA RICA,0,0,0,0,3
2017,POZA RICA,0,0,0,0,0
2010,POZA RICA,0,0,0,0,3
2432,POZA RICA,0,0,0,0,3
2484,POZA RICA,0,0,0,2,3
2206,POZA RICA,0,0,0,2,1
2495,POZA RICA,0,0,0,0,2
2603,POZA RICA,0,0,0,0,3
2311,POZA RICA,0,0,0,6,3
2406,POZA RICA,0,0,0,0,1
1048,POZA RICA,0,0,0,8,3
2502,POZA RICA,0,0,0,0,3
2126,POZA RICA,0,0,0,0,2
2527,POZA RICA,0,0,0,0,2
2072,POZA RICA,0,0,0,0,3
2415,POZA RICA,0,0,0,5,3
2089,POZA RICA,0,0,0,0,3
2009,POZA RICA,0,0,0,0,3
2453,POZA RICA,0,0,0,0,3
2454,POZA RICA,0,0,0,10,3
2450,POZA RICA,0,0,0,2,3
2026,POZA RICA,0,0,0,0,2
2298,POZA RICA,0,0,0,0,2
2615,POZA RICA,0,0,0,0,0
2022,POZA RICA,0,0,0,0,3
2612,POZA RICA,0,0,0,0,0
2475,POZA RICA,0,0,0,0,3
2408,POZA RICA,0,0,0,1,3
2493,POZA RICA,0,0,0,2,1
2055,POZA RICA,0,0,0,0,0
2563,POZA RICA,0,0,0,0,1
2054,POZA RICA,0,0,0,0,0
2541,POZA RICA,0,0,0,0,2
2576,POZA RICA,0,0,0,0,3
2562,POZA RICA,0,0,0,0,2
2547,POZA RICA,0,0,0,0,2
2260,POZA RICA,0,0,0,7,3
2024,POZA RICA,0,0,0,8,2
2058,POZA RICA,0,0,0,8,0
2620,POZA RICA,0,0,0,0,0
2601,POZA RICA,0,0,0,0,0
2601,POZA RICA,0,0,0,0,0
2396,POZA RICA,0,0,0,0,1
2021,POZA RICA,0,0,0,0,3
2387,POZA RICA,0,0,0,0,2
2136,POZA RICA,0,0,0,0,3
2503,POZA RICA,0,0,0,0,1
2109,POZA RICA,0,0,0,0,1
2583,POZA RICA,0,0,0,0,0
2395,POZA RICA,0,0,0,0,2
2169,POZA RICA,0,0,0,0,3
2042,POZA RICA,0,0,0,0,1
2538,POZA RICA,0,0,0,0,3
2551,POZA RICA,0,0,0,0,1
4438,POZA RICA,0,0,0,0,1
2472,POZA RICA,0,0,0,2,2
2588,POZA RICA,0,0,0,0,3
2447,POZA RICA,0,0,0,0,2
2362,POZA RICA,0,0,0,5,3
2461,POZA RICA,0,0,0,0,3
2619,POZA RICA,0,0,0,0,0
2011,POZA RICA,0,0,0,1,3
2320,POZA RICA,0,0,0,0,3
2361,POZA RICA,0,0,0,16,3
2609,POZA RICA,0,0,0,0,0
2596,POZA RICA,0,0,0,0,0
2611,POZA RICA,0,0,0,0,0
2494,POZA RICA,0,0,0,4,3
2020,POZA RICA,0,0,0,0,3
2608,POZA RICA,0,0,0,0,0
2560,POZA RICA,0,0,0,0,2
2589,POZA RICA,0,0,0,0,0
2224,POZA RICA,0,0,0,1,3
2334,POZA RICA,0,0,0,0,3
2474,POZA RICA,0,0,0,8,2
639,POZA RICA,0,0,0,10,2
2617,POZA RICA,0,0,0,0,0
2545,POZA RICA,0,0,0,0,1
2485,POZA RICA,0,0,0,10,3
2360,POZA RICA,0,0,0,3,3
2428,POZA RICA,0,0,0,0,2
2470,POZA RICA,0,0,0,0,3
2355,POZA RICA,0,0,0,0,1
2228,POZA RICA,0,0,0,0,2
2027,POZA RICA,0,0,0,0,3
2554,POZA RICA,0,0,0,0,2
2532,POZA RICA,0,0,0,0,3
2008,POZA RICA,0,0,0,0,3
2051,POZA RICA,0,0,0,0,2
2559,POZA RICA,0,0,0,0,3
2328,POZA RICA,0,0,0,0,1
2577,POZA RICA,0,0,0,0,3
2606,POZA RICA,0,0,0,0,0
2378,POZA RICA,0,0,0,0,2
2600,POZA RICA,0,0,0,0,0
2459,POZA RICA,0,0,0,0,2
1103,POZA RICA,0,0,0,0,3
