# trabajador,distrito,2019-2020,2020-2021,2021-2022,2022-2023,economicos
4406,PLANTA VERACRUZ,0,0,0,0,2
4454,PLANTA VERACRUZ,0,0,0,0,0
4432,PLANTA VERACRUZ,0,0,0,0,0
4479,PLANTA VERACRUZ,0,0,0,0,0
4467,PLANTA VERACRUZ,0,0,0,0,0
4444,PLANTA VERACRUZ,0,0,0,0,0
4481,PLANTA VERACRUZ,0,0,0,0,0
4487,PLANTA VERACRUZ,0,0,0,0,0
4419,PLANTA VERACRUZ,0,0,0,0,0
11,PLANTA VERACRUZ,0,0,0,0,0
4456,PLANTA VERACRUZ,0,0,0,0,0
4022,PLANTA VERACRUZ,0,0,0,5,1
4011,PLANTA VERACRUZ,0,0,0,4,1
4008,PLANTA VERACRUZ,0,0,0,14,3
4092,PLANTA VERACRUZ,0,0,0,10,3
21,Matriz,0,0,0,16,3
197,PLANTA VERACRUZ,0,0,0,16,2
4099,PLANTA VERACRUZ,0,0,0,1,2
4086,PLANTA VERACRUZ,0,0,0,1,2
8507,PLANTA VERACRUZ,0,0,0,7,1
4055,PLANTA VERACRUZ,0,0,0,16,2
631,PLANTA VERACRUZ,0,0,0,12,3
4421,PLANTA VERACRUZ,0,0,0,0,0
4477,PLANTA VERACRUZ,0,0,0,0,0
37,PLANTA VERACRUZ,0,0,0,0,1
4024,PLANTA VERACRUZ,0,0,0,6,2
4095,PLANTA VERACRUZ,0,0,0,3,2
1069,PLANTA VERACRUZ,0,0,0,0,0
38,PLANTA VERACRUZ,0,0,0,0,2
40,PLANTA VERACRUZ,0,0,0,13,3
42,PLANTA VERACRUZ,0,0,0,3,3
4490,PLANTA VERACRUZ,0,0,0,0,0
4427,PLANTA VERACRUZ,0,0,0,0,0
4461,PLANTA VERACRUZ,0,0,0,0,0
4103,PLANTA VERACRUZ,0,0,0,0,0
48,PLANTA VERACRUZ,0,0,0,0,1
4441,PLANTA VERACRUZ,0,0,0,0,0
50,PLANTA VERACRUZ,0,0,0,8,3
4039,PLANTA VERACRUZ,0,0,0,15,2
4019,PLANTA VERACRUZ,0,0,0,15,3
1090,PLANTA VERACRUZ,0,0,0,18,2
56,PLANTA VERACRUZ,0,0,0,0,2
4470,PLANTA VERACRUZ,0,0,0,0,0
4463,PLANTA VERACRUZ,0,0,0,0,0
4471,PLANTA VERACRUZ,0,0,0,0,0
4445,PLANTA VERACRUZ,0,0,0,0,0
4025,PLANTA VERACRUZ,0,0,2,16,3
4475,PLANTA VERACRUZ,0,0,0,0,2
4482,PLANTA VERACRUZ,0,0,0,0,0
4424,PLANTA VERACRUZ,0,0,0,0,0
4447,PLANTA VERACRUZ,0,0,0,0,0
4485,PLANTA VERACRUZ,0,0,0,0,0
4473,PLANTA VERACRUZ,0,0,0,0,0
4418,PLANTA VERACRUZ,0,0,0,0,0
4083,PLANTA VERACRUZ,0,0,0,0,2
4480,PLANTA VERACRUZ,0,0,0,0,3
4483,PLANTA VERACRUZ,0,0,0,0,0
4088,PLANTA VERACRUZ,0,0,0,0,3
4412,PLANTA VERACRUZ,0,0,0,0,0
4104,PLANTA VERACRUZ,0,0,0,1,3
4089,PLANTA VERACRUZ,0,0,0,0,2
4010,PLANTA VERACRUZ,0,0,0,12,1
4028,PLANTA VERACRUZ,0,0,0,0,1
