# trabajador,distrito,2019-2020,2020-2021,2021-2022,2022-2023,economicos
1258,Veracruz,AGUIRRE MENDEZ HECTOR ERNESTO,0,0,8,3
3194,Veracruz,ALEJOS DIAZ LEONARDO JAVIER,0,0,0,3
0027,Veracruz,ANGELES RONQUILLO NORA LUZ,0,0,0,0
2444,Veracruz,ANIMAS GARCIA HEBER,0,0,9,3
0040,Veracruz,BALDERAS SOTO JESUS NOEL,0,0,0,3
2424,Veracruz,BAEZ  VAZQUEZ IVAN BRIAN,0,0,10,3
2379,Veracruz,BRAVO HERRERA FERNANDO,0,0,6,3
3135,Veracruz,CAMARILLO LEON BEATRIZ,0,0,16,0
2240,Veracruz,CASTILLO GUEVARA JOSE ROBERTO,0,0,2,3
2422,Veracruz,CASTILLO LUVIAN SANTOS ANTONIO,0,0,5,3
2229,Veracruz,CORTES HERNANDEZ MARCO ANTONIO,0,0,2,2
0071,Veracruz,CORTES LOPEZ JOSE DANIEL,0,0,0,0
0068,Veracruz,CRUZ AQUINO CARLOS,0,0,0,0
2025,Veracruz,GARCIA ANGHEVEN LUIS DANIEL ,0,0,0,3
0073,Veracruz,GARCIA MARTINEZ TEODORA,0,0,0,0
2037,Veracruz,GUDIÑO COVARRUBIAS ABEL ,0,0,11,1
0070,Veracruz,GUTIERREZ GOMEZ ALFREDO,0,0,0,0
0064,Veracruz,JIMENEZ CASTRO JOSE ARMANDO,0,0,0,0
2077,Veracruz,JIMENEZ DOMINGUEZ GABRIEL,0,0,9,1
2407,Veracruz,LORENZO VICENCIO PABLO,0,0,1,3
0056,Veracruz,MAR REYES BRENDA VERENICE,0,0,0,2
0074,Veracruz,MARTINEZ SOLIS JUAN FRANCISCO,0,0,0,0
0026,Veracruz,NAVARRETE NAVARRETE YULISSA,0,0,0,3
0033,Veracruz,ORDOÑEZ MORALES NURIA ROCIO,0,0,6,3
2067,Veracruz,PATRICIO RODRIGUEZ SANTIAGO,0,0,2,3
0059,Veracruz,RAMOS GÓMEZ IRIS ALEJANDRA,0,0,0,3
0072,Veracruz,REVUELTA ANTONIO AGUSTINA,0,0,0,0
2026,Veracruz,REYES CARREON DANIEL,0,2,12,3
0069,Veracruz,ROMERO NARVAEZ KEVIN DANIEL,0,0,0,0
0060,Veracruz,ROMERO LUGO HUMBERTO,0,0,0,3
3189,Veracruz,TOLEDO TRINIDAD ERICK,0,0,3,2
2214,Veracruz,TORES FRIAS IVAN,0,0,0,1
0053,Veracruz,VAZQUEZ BRECHT JOSE MAXIMINO,0,0,0,3
0082,Veracruz,VAZQUEZ ROMAN JOSE ANTONIO,0,0,0,0
4035,Veracruz,VEGA RODRIGUEZ ARTURO,0,0,0,3
0101,Veracruz,VILLANUEVA LUNA SELENE,0,0,11,3
0065,Veracruz,ZAPATA MARTINEZ NAYELI ESMERALDA,0,0,0,3
