# trabajador,distrito,2019-2020,2020-2021,2021-2022,2022-2023,economicos
1258,Veracruz,0,0,0,8,3
3194,Veracruz,0,0,0,0,3
27,Veracruz,0,0,0,0,0
2444,Veracruz,0,0,0,9,3
40,Veracruz,0,0,0,0,3
2424,Veracruz,0,0,0,10,3
2379,Veracruz,0,0,0,6,3
3135,Veracruz,0,0,0,16,0
2240,Veracruz,0,0,0,2,3
2422,Veracruz,0,0,0,5,3
2229,Veracruz,0,0,0,2,2
71,Veracruz,0,0,0,0,0
68,Veracruz,0,0,0,0,0
2025,Veracruz,0,0,0,0,3
73,Veracruz,0,0,0,0,0
2037,Veracruz,0,0,0,11,1
70,Veracruz,0,0,0,0,0
64,Veracruz,0,0,0,0,0
2077,Veracruz,0,0,0,9,1
2407,Veracruz,0,0,0,1,3
56,Veracruz,0,0,0,0,2
74,Veracruz,0,0,0,0,0
26,Veracruz,0,0,0,0,3
33,Veracruz,0,0,0,6,3
2067,Veracruz,0,0,0,2,3
59,Veracruz,0,0,0,0,3
72,Veracruz,0,0,0,0,0
2026,Veracruz,0,0,2,12,3
69,Veracruz,0,0,0,0,0
60,Veracruz,0,0,0,0,3
3189,Veracruz,0,0,0,3,2
2214,Veracruz,0,0,0,0,1
53,Veracruz,0,0,0,0,3
82,Veracruz,0,0,0,0,0
4035,Veracruz,0,0,0,0,3
101,Veracruz,0,0,0,11,3
65,Veracruz,0,0,0,0,3
