numero_de_trabajador,neto_catorcenal_sin_deducciones,complemento_salario_catorcenal,sueldo_diario,amortizacion_infonavit,fonacot,apoyo_de_pasajes,apoyo_vist_familiar,estancia,renta,campamento,apoyo_estudios,gasolina,amv,laborados
4454,2500,0,185.59,0,0,0,0,0,0,0,0,0,0,31
4432,2500,0,185.59,0,0,600,0,0,0,0,0,0,0,31
4479,2500,0,185.59,0,0,600,0,0,0,0,0,0,0,31
4467,3000,0,228.51,0,0,840,0,0,0,0,0,0,0,31
4077,4000,0,323.37,0,0,600,0,0,0,0,0,0,0,31
4079,4000,0,323.37,0,0,600,0,0,0,0,0,0,0,31
4481,3000,0,228.51,0,0,600,0,0,0,0,0,0,0,31
4419,2500,0,185.59,0,0,0,0,0,0,0,0,0,0,31
11,2500,0,185.59,0,0,0,0,0,0,0,0,0,0,31
4456,2500,0,185.59,0,0,0,0,0,0,0,0,0,0,31
4022,4400,0,359.29,0,0,600,0,0,0,0,0,0,0,31
4011,5000,0,414.25,0,0,600,0,0,0,0,0,0,0,31
4092,3500,0,279.6,0,0,840,0,0,0,0,0,0,0,31
21,8750,0,767.91,0,0,0,0,0,0,0,0,0,5000,31
197,6000,0,508.56,0,0,0,0,0,0,0,0,0,5000,31
4099,4200,0,341.25,0,0,600,0,0,0,0,0,0,0,31
4086,7000,0,602.87,0,0,0,0,2000,0,0,0,0,0,31
8507,5000,0,414.25,0,0,0,0,0,3000,0,0,0,0,31
4472,3000,0,228.51,0,0,600,0,0,0,0,0,0,0,31
4055,3700,0,296.95,0,0,600,0,0,0,0,0,0,0,31
631,7000,0,596.18,0,0,600,0,0,0,0,0,0,0,31
35,5000,0,414.25,0,0,840,0,0,0,0,0,0,0,31
4024,3000,0,228.51,0,0,600,0,0,0,0,0,0,0,31
4095,4000,0,323.37,0,0,840,0,0,0,0,0,0,0,31
4428,3000,0,228.51,0,0,600,0,0,0,0,0,0,0,31
1069,5000,0,414.25,0,0,600,0,0,0,1600,0,0,0,31
38,5000,0,414.25,0,0,840,0,0,0,0,0,0,0,31
42,5000,0,414.25,0,0,840,0,0,0,0,0,0,0,31
4461,3000,0,228.51,0,0,600,0,0,0,0,0,0,0,31
4103,2500,0,185.59,0,0,840,0,0,0,0,0,0,0,31
48,4000,0,323.37,0,0,0,0,0,0,0,0,0,0,31
4441,3500,0,279.6,0,0,0,0,0,0,0,0,0,0,31
4442,3000,0,228.51,0,0,600,0,0,0,0,0,0,0,31
4039,4600,0,377.34,0,0,600,0,0,0,0,0,0,0,31
1090,8000,0,697.18,0,0,0,0,0,6000,0,0,0,7500,31
4070,3000,0,228.51,0,0,840,0,0,0,0,0,0,0,31
4020,2500,0,185.59,0,0,0,0,0,0,0,0,0,0,31
4463,2500,0,185.59,0,0,0,0,0,0,0,0,0,0,31
4471,4000,0,323.37,0,0,0,0,0,0,0,0,0,2500,31
4445,2500,0,185.59,0,0,0,0,0,0,0,0,0,0,31
4025,11200,0,989.54,0,0,0,0,0,0,0,0,0,6000,31
4475,6000,0,501.9,0,0,0,1500,0,3000,0,0,0,0,31
4482,3000,0,228.51,0,0,600,0,0,0,0,0,0,0,31
4473,3000,0,228.51,0,0,840,0,0,0,0,0,0,0,31
4418,3000,0,228.51,0,0,600,0,0,0,0,0,0,0,31
4480,7000,0,596.18,0,0,0,0,0,0,0,0,0,0,31
4478,5000,0,408.97,0,0,0,0,0,0,0,0,0,0,31
4483,3000,0,228.51,0,0,600,0,0,0,0,0,0,0,31
4088,4700,0,386.36,0,0,600,0,0,0,0,0,0,0,31
4440,2500,0,185.59,0,0,0,0,0,0,0,0,0,0,31
4089,3000,0,228.51,0,0,840,0,0,0,0,0,0,0,31
4010,5000,0,414.25,0,0,600,0,0,0,0,0,0,0,31
4416,2500,0,185.59,0,0,0,0,0,0,0,0,0,0,31
4028,4600,0,377.34,0,0,600,0,0,0,0,0,0,0,31
4406,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4444,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4487,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4410,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4008,6000,,508.56,0,0,0,0,0,0,0,0,0,5000,31
4443,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4486,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4421,3000,,228.51,0,0,840,0,0,0,0,0,0,0,31
4477,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
37,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4474,5000,,408.97,0,0,0,0,0,0,0,0,0,0,31
4427,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4019,5000,,414.25,0,0,600,0,0,0,0,0,0,0,31
4434,3000,,228.51,0,0,840,0,0,0,0,0,0,0,31
4411,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4424,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4447,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4488,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4083,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4450,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4412,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
4104,2500,,185.59,0,0,0,0,0,0,0,0,0,0,31
